Close,Index,Advice
1593.413452,1,Buy
1595.359253,1,Buy
1678.650146,1,Buy
1691.333984,1,Buy
1691.355957,1,Buy
1702.842041,1,Buy
1716.494629,1,Buy
1723.153809,1,Buy
1772.102417,1,Buy
1782.855103,1,Buy
1787.510742,1,Buy
1788.217041,1,Buy
1791.702271,1,Buy
1799.16626,1,Buy
1806.971802,1,Buy
1812.634644,1,Buy
1813.217285,1,Buy
1817.296631,1,Buy
1817.624146,1,Buy
1819.684937,1,Buy
1823.449341,1,Buy
1826.194946,1,Buy
1829.239258,1,Buy
1834.727905,1,Buy
1846.033691,1,Buy
1854.564331,1,Buy
1868.048828,1,Buy
1874.950073,1,Buy
1880.382935,1,Buy
1888.44751,1,Buy
1895.552124,1,Buy
1898.825195,1,Buy
1911.175659,1,Buy
1918.362061,1,Buy
1924.685425,1,Buy
1940.083984,1,Buy
1971.077271,1,Buy
1977.276855,1,Buy
1978.894653,1,Buy
1988.456299,1,Buy
1989.736328,1,Buy
1990.970825,1,Buy
1994.331299,1,Buy
2025.202759,1,Buy
2028.422485,1,Buy
2036.721069,1,Buy
2072.108887,1,Buy
2079.657471,1,Buy
2088.57373,1,Buy
2093.122803,1,Buy
2107.887207,1,Buy
2109.579834,1,Buy
2111.403564,1,Buy
2113.605469,1,Buy
2118.378906,1,Buy
2120.026367,1,Buy
2124.776611,1,Buy
2135.942139,1,Buy
2139.353271,1,Buy
2139.664795,1,Buy
2143.225586,1,Buy
2146.692383,1,Buy
2150.040283,1,Buy
2157.656982,1,Buy
2160.768311,1,Buy
2166.188721,1,Buy
2178.499023,1,Buy
2189.21875,1,Buy
2191.373779,1,Buy
2198.58252,1,Buy
2211.625732,1,Buy
2226.114258,1,Buy
2231.733154,1,Buy
2233.366699,1,Buy
2237.136963,1,Buy
2246.364502,1,Buy
2274.547607,1,Buy
2279.51416,1,Buy
2295.705566,1,Buy
2296.54541,1,Buy
2298.333496,1,Buy
2299.187744,1,Buy
2315.161865,1,Buy
2316.05957,1,Buy
2321.724121,1,Buy
2324.679443,1,Buy
2330.210938,1,Buy
2344.89502,1,Buy
2353.768799,1,Buy
2363.586182,1,Buy
2364.751709,1,Buy
2367.663574,1,Buy
2372.001953,1,Buy
2372.484375,1,Buy
2380.956787,1,Buy
2390.30542,1,Buy
2403.535156,1,Buy
2405.181152,1,Buy
2419.90625,1,Buy
2423.001221,1,Buy
2430.621338,1,Buy
2431.946533,1,Buy
2435.10498,1,Buy
2440.352295,1,Buy
2455.935059,1,Buy
2460.679199,1,Buy
2466.961426,1,Buy
2468.030273,1,Buy
2471.518555,1,Buy
2502.349609,1,Buy
2508.391602,1,Buy
2517.438721,1,Buy
2519.116211,1,Buy
2534.321045,1,Buy
2534.481689,1,Buy
2535.039063,1,Buy
2536.209961,1,Buy
2537.891113,1,Buy
2547.092041,1,Buy
2555.037354,1,Buy
2557.931641,1,Buy
2561.852051,1,Buy
2573.816162,1,Buy
2590.263184,1,Buy
2590.359619,1,Buy
2597.084717,1,Buy
2598.067139,1,Buy
2603.466553,1,Buy
2608.26709,1,Buy
2610.15332,1,Buy
2610.936768,1,Buy
2617.156006,1,Buy
2621.801758,1,Buy
2628.648438,1,Buy
2630.576904,1,Buy
2633.518311,1,Buy
2639.299316,1,Buy
2643.591064,1,Buy
2662.865234,1,Buy
2664.831055,1,Buy
2679.162598,1,Buy
2682.854004,1,Buy
2688.195068,1,Buy
2688.278809,1,Buy
2706.125,1,Buy
2706.628906,1,Buy
2714.945313,1,Buy
2715.092773,1,Buy
2724.619873,1,Buy
2736.488525,1,Buy
2746.380127,1,Buy
2756.876953,1,Buy
2763.701172,1,Buy
2764.431152,1,Buy
2764.535645,1,Buy
2773.207031,1,Buy
2781.111816,1,Buy
2784.294189,1,Buy
2785.727539,1,Buy
2792.117188,1,Buy
2807.296631,1,Buy
2827.328857,1,Buy
2834.468994,1,Buy
2853.143311,1,Buy
2855.126465,1,Buy
2881.481934,1,Buy
2883.463379,1,Buy
2888.69873,1,Buy
2890.94165,1,Buy
2917.362793,1,Buy
2919.201172,1,Buy
2925.565674,1,Buy
2927.383545,1,Buy
2931.669189,1,Buy
2933.479004,1,Buy
2934.138916,1,Buy
2945.892822,1,Buy
2950.118408,1,Buy
2952.056152,1,Buy
2958.993408,1,Buy
2972.485107,1,Buy
2983.586914,1,Buy
3001.120117,1,Buy
3001.678955,1,Buy
3013.732666,1,Buy
3014.648193,1,Buy
3014.845947,1,Buy
3020.089844,1,Buy
3043.414307,1,Buy
3057.476074,1,Buy
3062.265381,1,Buy
3077.482178,1,Buy
3077.86792,1,Buy
3083.0979,1,Buy
3091.972656,1,Buy
3095.825928,1,Buy
3100.325439,1,Buy
3122.608643,1,Buy
3127.830078,1,Buy
3141.691162,1,Buy
3142.470703,1,Buy
3155.523682,1,Buy
3156.509521,1,Buy
3157.23877,1,Buy
3157.751465,1,Buy
3164.025146,1,Buy
3164.245117,1,Buy
3167.856201,1,Buy
3172.456299,1,Buy
3179.877197,1,Buy
3182.702148,1,Buy
3193.210449,1,Buy
3211.505859,1,Buy
3212.304932,1,Buy
3224.374268,1,Buy
